animal_id,tissue,stim,conc_µg_ml,ifng_pg_ml,dose_µg,stim_id,adjusted_ifng,log_adj_ifng
c|7,ln,CMP1,0.1,347.912558799,10,CMP1|0.1,276.8741044545,2.442282338849861
d|2,sp,CMP1,10.0,5819.41384565,50,CMP1|10.0,5746.43579331,3.7593985585603895
d|1,sp,CMP2,0.1,717.362299354,50,CMP2|0.1,700.6781841201,2.8455185957813547
d|1,sp,CMP2,1.0,3901.17736932,50,CMP2|1.0,3884.4932540861,3.5893343715774946
d|1,sp,CMP1,0.1,265.249845042,50,CMP1|0.1,248.5657298081,2.3954412514931325
d|1,sp,CMP1,1.0,1114.04344431,50,CMP1|1.0,1097.3593290761,3.0403488601017767
d|1,sp,CMP1,10.0,1810.96789574,50,CMP1|10.0,1794.2837805061,3.25389113132865
d|2,sp,CMP1,1.0,3730.31779692,50,CMP1|1.0,3657.33974458,3.5631653055234223
d|1,sp,CMP2,10.0,7899.96122501,50,CMP2|10.0,7883.2771097761,3.896706792975597
d|2,sp,CMP1,0.1,1863.5316406,50,CMP1|0.1,1790.55358826,3.252987323246468
d|4,sp,CMP1,1.0,348.360659887,50,CMP1|1.0,304.24343322,2.483221213205815
d|2,sp,CMP2,1.0,8664.73864036,50,CMP2|1.0,8591.760588019999,3.934082166778379
d|3,sp,CMP1,10.0,3004.0291970300004,50,CMP1|10.0,2930.1739793036004,3.4668934073876714
d|3,sp,CMP1,1.0,1441.8183327200002,50,CMP1|1.0,1367.9631149936001,3.136074387463991
d|3,sp,CMP1,0.1,382.629412907,50,CMP1|0.1,308.77419518060003,2.4896409984028534
d|3,sp,CMP2,10.0,7667.62364297,50,CMP2|10.0,7593.7684252436,3.880457349036025
d|3,sp,CMP2,1.0,3014.23586873,50,CMP2|1.0,2940.3806510036,3.4684035562384894
d|3,sp,CMP2,0.1,942.686504789,50,CMP2|0.1,868.8312870625999,2.938935451694573
d|4,sp,CMP1,10.0,826.135720965,50,CMP1|10.0,782.0184942980001,2.893217024001781
d|4,sp,CMP2,1.0,1323.9481598900002,50,CMP2|1.0,1279.830933223,3.1071526027589242
d|4,sp,CMP1,0.1,251.337356118,50,CMP1|0.1,207.220129451,2.3164319406720044
